POAM ID,Controls,Weakness Name,Weakness Description,Weakness Detector Source,Weakness Source Identifier,Asset Identifier,Point of Contact,Resources Required,Remediation Plan,Original Detection Date,Scheduled Completion Date,Status Date,Vendor Dependency,Last Vendor Check-in Date,Vendor Dependent Product Name,Original Risk Rating,Adjusted Risk Rating,Risk Adjustment,False Positive,Operational Requirement,Deviation Rationale,Supporting Documents,Comments,Binding Operational Directive 22-01 tracking,Binding Operational Directive 22-01 Due Date,CVE
"V-21","RA-5, SI-2","","","","CWE-405","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.19-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-0450"
"V-22","RA-5, SI-2","NULL Pointer Dereference","Information Input Validation","SI-10","CWE-476","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.2.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.5","5.5","N/A","Grype","","","","","","","CVE-2024-0727"
"V-23","RA-5, SI-2","Server-Side Request Forgery (SSRF)","Information Input Validation","SI-10","CWE-918","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.21-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-11168"
"V-24","RA-5","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Information Input Validation","SI-10","CWE-22","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-12718"
"V-25","RA-5, SI-2","","","","CWE-392","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.4.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-12797"
"V-26","RA-5, SI-2","","","","CWE-385","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.4.0-r6","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-13176"
"V-27","RA-5, SI-2","","","","CWE-1325","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.0-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-2511"
"V-28","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.39-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-2961"
"V-29","RA-5, SI-2","","","","CWE-121","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.39-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-33599"
"V-30","RA-5, SI-2","NULL Pointer Dereference","Information Input Validation","SI-10","CWE-476","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.39-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-33600"
"V-31","RA-5, SI-2","","","","CWE-617","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.39-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-33601"
"V-32","RA-5, SI-2","Return of Pointer Value Outside of Expected Range","","","CWE-466","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.39-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-33602"
"V-33","RA-5, SI-2","","","","CWE-697","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.19-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-4032"
"V-34","RA-5, SI-2","","","","CWE-606","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.0-r8","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-4603"
"V-35","RA-5","Use after Free","Information in Shared Resources","SC-4","CWE-416","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-4741"
"V-36","RA-5, SI-2","","","","CWE-754","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.21-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-50602"
"V-37","RA-5, SI-2","Out-of-bounds Read","Information Input Validation","SI-10","CWE-125","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.1-r3","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-5535"
"V-38","RA-5, SI-2","","","","null","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.25-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-5642"
"V-39","RA-5, SI-2","","","","CWE-843","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.2-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2024-6119"
"V-40","RA-5, SI-2","","","","CWE-1333","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.20-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2024-6232"
"V-41","RA-5, SI-2","Improper Control of Generation of Code ('Code Injection')","Information Input Validation","SI-10","CWE-94","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.20-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-6923"
"V-42","RA-5, SI-2","","","","CWE-1333","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.20-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2024-7592"
"V-43","RA-5, SI-2","","","","CWE-835","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.20-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-8088"
"V-44","RA-5, SI-2","Out-of-bounds Read","Information Input Validation","SI-10","CWE-125","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.2-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-9143"
"V-45","RA-5, SI-2","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Information Input Validation","SI-10","CWE-77","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.20-r3","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.8","7.8","N/A","Grype","","","","","","","CVE-2024-9287"
"V-46","RA-5, SI-2","Incorrect Calculation of Buffer Size","Information Input Validation","SI-10","CWE-131","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.40-r6","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-0395"
"V-47","RA-5, SI-2","Improper Input Validation","Information Input Validation","SI-10","CWE-20","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.25-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-0938"
"V-48","RA-5, SI-2","NULL Pointer Dereference","Information Input Validation","SI-10","CWE-476","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-11187"
"V-49","RA-5","","","","null","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-11468"
"V-50","RA-5","","","","CWE-407","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2025-12084"
"V-51","RA-5","","","","CWE-704","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2025-12781"
"V-52","RA-5","Uncontrolled Resource Consumption ('Resource Exhaustion')","Information Input Validation","SI-10","CWE-400","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2025-13836"
"V-53","RA-5","Uncontrolled Resource Consumption ('Resource Exhaustion')","Information Input Validation","SI-10","CWE-400","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.5","5.5","N/A","Grype","","","","","","","CVE-2025-13837"
"V-54","RA-5, SI-2","","","","CWE-908","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.42-r7","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15281"
"V-55","RA-5","","","","CWE-93","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15282"
"V-56","RA-5","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Information Input Validation","SI-10","CWE-77","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15366"
"V-57","RA-5","Improper Neutralization of Special Elements used in a Command ('Command Injection')","Information Input Validation","SI-10","CWE-77","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15367"
"V-58","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15467"
"V-59","RA-5, SI-2","NULL Pointer Dereference","Information Input Validation","SI-10","CWE-476","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15468"
"V-60","RA-5, SI-2","","","","CWE-347","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.6.1-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-15469"
"V-61","RA-5, SI-2","","","","CWE-116","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.25-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-1795"
"V-62","RA-5","Integer Overflow or Wraparound","Information Input Validation","SI-10","CWE-190","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2025-29087"
"V-63","RA-5","Integer Overflow or Wraparound","Information Input Validation","SI-10","CWE-190","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","9.8","9.8","N/A","Grype","","","","","","","CVE-2025-3277"
"V-64","RA-5","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Information Input Validation","SI-10","CWE-22","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4138"
"V-65","RA-5","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Information Input Validation","SI-10","CWE-22","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4330"
"V-66","RA-5","","","","CWE-682","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4435"
"V-67","RA-5, SI-2","Use after Free","Information in Shared Resources","SC-4","CWE-416","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.25-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4516"
"V-68","RA-5","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Information Input Validation","SI-10","CWE-22","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4517"
"V-69","RA-5, SI-2","","","","CWE-295","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.5.0-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2025-4575"
